objectid,filename,title,format,interpretation,creator,findingaid,date,date_expanded,category,subject,url,speaker,pageref,citedtext,rights,rightsstatement
30,lock.jpeg,The Rape of the Lock,image/jpeg,"Lady Delacour refers to the moment Pope's Belinda wakes up in the poem--""First, rob'd in white, the Nymph intent adores / With Head uncover'd the Cosmetic Pow'rs""--but is perhaps also alluding to the fact that novel Belinda does not adorn herself with copious amounts of make-up or jewelry, unlike Pope's Belinda. By contrast, Lady Delacour's finery in terms of her garments as well as her known tendency to wear a great deal of make-up is consistently remarked upon within the text--likely another statement on the inherent vapidity of that kind of excessive focus on appearances. Lady Anne Percival is likewise rarely addressed in terms of her appearance, but rather in the joy and comfort she inspires in the people around her.",Alexander Pope,"This excerpt is from Canto I, Lines 123-124, which can be found in the middle of page 8 of the primary source.",1714,1714,Poetry,Contemporary Works; Literary Culture; Epic; Satire,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99117846300001021,Lady Delacour,32,"""Let me see you in my dressing-room, dear Belinda, as soon as you have adored 'With head uncover'd, the cosmetic powers.'""",,
31,inchbald.jpeg,A Simple Story,image/jpeg,"Here, Lady Delacour does not give her full name--and indeed the reader does not ever get full clarification as to her name beyond her title. This operates on two levels: the first, and perhaps most surface level reading, is to acknowledge that it is part of the mystique that she endeavors to cultivate as a coquette. The second, is that in her vanity to maintain appearances in some ways she does cease to be a person and becomes something of a stand-in for the 'reformed rake' stock type, and social guide to Belinda. In many ways, she serves a particular purpose within the novel as a cautionary tale within Edgeworth's moral framing. Edgeworth may have receivedthe inspiration for this sign-off from Miss Milner, who is never explicitly named in this referenced work, a novel of which she was particularly fond.",Elizabeth Inchbald,The link provided offers a digitized copy of the primary source.,1791,1791,Novel,Contemporary Works; Literary Culture: Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99110287970001021,Maria Edgeworth; Lady Delacour,32,"""T.C.H. Delacour""",,
32,bellamy.jpeg,An Apology for the Life of George Anne Bellamy: Late of Covent Garden Theatre. Written by Herself,image/jpeg,"There are two works in the eighteenth century that claim to give some insight into the life of actress George Anne Bellamy; the first is the aforementioned title, and the second is a memoir entitled ""Memoirs of George Anne Bellamy, including all her intrigues; with genuine anecdotes of all her public and private connections"" by a gentleman of Covent-Garden Theatre, who one might assume was a former colleague. While it remains unclear which one is saturated with greater veracity, the uncertainty inherent in this referenced depiction may be another form of foreshadowing within the novel. There are suggestions that Bellamy's vanity is exaggerated within this particular recollection, and as such a fractured reflection of her true character and life. One would be remiss to note how the same complexities are to be found in Lady Delacour; like an actor herself always in various costume and enjoying social performance--however to reduce her to nothing but self-centered vanity would be to do a disservice to her character and inherent sense of honor, which is supported by the text.",George Anne Bellamy,"The excerpt which contains the phrase Marriott references is in volume 1, letter 54, at the bottom of page 249 in the primary source.",1785,1785,Memoir; Correspondence,Contemporary Works; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99112554830001021,Mariott; Narrator,33,"""[Marriott] opened her lips but once upon the question of laburnum, or no laburnum flowers. Against them she quoted the memoirs and authority of the celebrated Mrs. Bellamy, who has a case in point to prove, that 'straw colour must ever look like dirty white by candle light.' Mrs. Franks, to compromise the matter, proposed gold laburnums, 'because nothing can look better by candle light, or any light, than gold;'""",,
33,lots.jpeg,The Life and Opinions of Tristram Shandy,image/jpeg,"Lady Delacour’s humorous literary evocation here is with reference to a particular genre of titles given to novels within the eighteenth century, often associated with autobiographies/biographies, memoirs, or fictional accounts of a character's life. There is something of a metatextual aspect to this joke on Lady Delacour's part, in that she is a fictional character telling her own history within this novel, entirely in line with the titles she parodies.",Laurence Sterne,The link provided offers a digitized copy of the primary source.,1760,1760-1766,Novel,Contemporary Works; Literary Culture,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99116880870001021,Lady Delacour,33,"""'Now your head will run upon the twisted note all day, instead of upon 'The life and Opinions of a Lady of Quality, related by herself.'""",,
34,peregrinepickle.jpeg,The Adventures of Peregrine Pickle,image/jpeg,"Lady Delacour’s humorous literary evocation here is with reference to a particular genre of titles given to novels within the eighteenth century, often associated with autobiographies/biographies, memoirs, or fictional accounts of a character's life. There is something of a metatextual aspect to this joke on Lady Delacour's part, in that she is a fictional character telling her own history within this novel, entirely in line with the titles she parodies.",Tobias Smollett,The link provided offers a digitized copy of the primary source.,1751,1751,Novel,Contemporary Works; Literary Culture,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99120448940001021,Lady Delacour,33,"""'Now your head will run upon the twisted note all day, instead of upon 'The life and Opinions of a Lady of Quality, related by herself.'""",,
35,bellamy.jpeg,An Apology for the Life of George Anne Bellamy: Late of Covent Garden Theatre. Written by Herself,image/jpeg,"Lady Delacour’s humorous literary evocation here is with reference to a particular genre of titles given to novels (and this particular memoir) within the eighteenth century, often associated with autobiographies/biographies, memoirs, or fictional accounts of a character's life. There is something of a metatextual aspect to this joke on Lady Delacour's part, in that she is a fictional character telling her own history within this novel, entirely in line with the titles she parodies.",George Anne Bellamy,The link provided offers a digitized copy of the primary source.,1785,1785,Memoir; Correspondence,Contemporary Works; Literary Culture,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99112554830001021,Lady Delacour,33,"""'Now your head will run upon the twisted note all day, instead of upon 'The life and Opinions of a Lady of Quality, related by herself.'""",,
36,santillane.jpeg,The Adventures of Gil Blas of Santillane,image/jpeg,"Gil Blas, within this picaresque novel, omits aspects of the events that transpired when he became acquainted with the Duke of Lerma--something Lady Delacour addresses with no shortage of flippant contradication in doing what appears to be the exact opposite in service to her usual vanity. Furthermore, her comment about archbishops is actually inaccurate to the source material; Gil Blas regales the Count d'Olivares and not the Archbishop of Granada (this was later corrected in the 1848 edition) (465-466).",Alain Rene Le Sage,"The line referenced here is in volume 4 of this series, Book 6, Chapter 4, in the top half of page 131.",1749,1749,Novel,Contemporary Works; Literary Culture; Picaresque,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99105278720001021,Lady Delacour,33,"""'I do nothing by halves, my dear--I shall not tell you my adventures, as Gil Blas told his archibishop of Grenada--skipping over the useful passages--because you are not an archbishop, and I should not have the grace to put on a sanctified face, if you were.'""",,
37,eclogues.jpeg,Persian Eclogues,image/jpeg,"Of particular note in regards to the structural components of formal realism implementing an international/globalized bent, reflecting a conflation of both globally produced knowledge and eighteenth century fiction as ""something to both wonder at (find marvelous and gripping) and wonder about (investigate its viability and what it could teach about the world)"" (Sarah Tindal Kareem, Mitsein). This is a reference to the lines: ""Sad was the Hour, and luckless was the Day, / When first from Shiraz' Walls I bent my Way."" Hassan, the titular character, is seen here lamenting the intensity of the desert's trials on the body, and perhaps too Lady Delacour seeks to speak of all the ways her marriage has lead her into a series of trials and tribulations with regard to money and agency, specifically.",William Collins,"Excerpt found within the second ecologue, called 'Hassan, or the Camel Driver' on page 11.",1742,1742,Story Collection,Contemporary Works; Literary Culture; Global Literature,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma9999138300001021,Lady Delacour,34,"""'The novice stands in a charming perplexity, and after examining, and doubting, and tossing over half the goods in the shop, it's ten to one, when it begins to get late, the young lady, in a hurry, pitches upon the very ugliest and worst thing that she has seen. Just so it was with me and my lovers, and so--'Sad was the hour, and luckless was the day.'""",,
38,caesar.jpeg,Julius Caesar,image/jpeg,"Likely with reference to Brutus' lines: ""I can raise no money by vile means / By heaven, I had rather coin my heart / And drop my blood for drachmas than to wring / From the hard hands of peasants their vile trash / By any indirection."" Of note here is Brutus lambasting Cassius over the money owed to him--and in some ways may be a reflection of Lady Delacour's displeasure with her husband and his lawyer's spending her fortune without caution or fully informing her of the extent of their financial mismanagement. However, the end of the scene in the play also features a kind of reconiliation between the two and an acknowledgement of faults made, so this may be cleverly foreshadowing the Delacours' marital recovery later within the text.",William Shakespeare,"In this particular version of the primary source, Brutus' spoken line is in Act 4, scene 2 (on page 65) of the play--but versions from the latter half of the eighteenth century contain this line in Act 4, scene 3.",1711,1711,Play,Theater; Literary Culture; History,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99123623370001021,Lady Delacour,38,"""'But I was going on to tell you that my good uncle, and all my relations, quarrelled with me for having ruined myself, as they said--but I said, they quarrelled with me for fear I should ask them for some of their 'vile trash'.'""",,
39,ted.jpeg,Thoughts on the Education of Daughters,image/jpeg,"Wollstonecraft early on in this text advocates for a closer bond between mother and child in child-rearing, particularly with regard to breast-feeding infants instead of handing them off to wet-nurses: ""The mother (if there are not very weighty reasons to prevent her) ought to suckle her children"". Lady Delacour shows some contempt for this practice, but there is reason to believe that it has more to do with her lingering, unresolved grief with the death of her first child than necessarily an oppositional alignment with Wollstonecraft. Her inability to socially engage with other women on this level and enjoy what was considered to be the height of domestic happiness (in Edgeworth's view, within the nuclear family unit especially) was likely highlighted here.",Mary Wollstonecraft,"Pages 3-4 detail Wollstonecraft's commitment to the practice as mentioned in the passage. Of particular note is the fact that modern science has confirmed the veracity of improved health and bonding through this practice, and its contribution to preventing disease or harm from neglect.",1787,1787,Non-fiction,Current Events; Domestic Life; Treatise,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99115229580001021,Lady Delacour,39,"""'My second child was a girl, but a poor, diminutive, sickly thing.--It was the fashion at this time for fine mothers to suckle their own children--so much the worse for the poor brats.--Fine nurses never made fine children.'""",,
40,olney.jpeg,Olney Hymns,image/jpeg,"Central to Lady Delacour's narrative function as a reformed rake and Maria Edgeworth's larger literary aim of writing a moral tale, here she details the ways in which her lack of a developed home life with her husband and child resulted in her focus on vanity and social performance, and subsequent formation of a friendship with Harriot Freke. A stanza in the hymn referenced includes the lines: ""What peaceful hours I once enjoy'd! / How sweet their mem'ry still! / But they have left an aching void, / The world can never fill.'"" Edgeworth may be further implying here that fulfillment cannot be achieved for a woman without the virtuous joys of a structurally sound nuclear family, as was a concept emergent in the transition into the nineteenth century.",William Cowper,"With reference to the first hymn featured in this collection, called: 'O! for a closer walk with God!', and can be found on page 4.",1779,1779,Poetry,Contemporary Works; Literary Culture; Moral; Hymn,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99115902520001021,Lady Delacour,40,"""'You see I had nothing at home, either in the shape of husband or children, to engage my affections. I believe it was this 'aching void' in my heart which made me, after looking abroad some time for a bosom friend, take such a prodigious fancy to Mrs. Freke.'""",,
41,delicacy.jpeg,False Delicacy,image/jpeg,"Lady Delacour is likely referring the way in which Lady Betty Lambton in the play is too humble to confess the extent of her feelings for Lord Windworth and subsequently appears to lose him to another woman (before the end of the play)--thus evoking a sense of false delicacy. High fashionable London society does appear to have some disdain toward excessive displays of virtue and humility--as seen in Lady Delacour's persistent raillery of Belinda's general sense of reserve. Lady Delacour notes that she had initially perceived Harriot Freke with a level of trepidation as to her ""impudence"", but after this conduct attracted no shortage of social intrigue Lady Delacour felt the need to ""reform [her] manners"" to ensure she would not be levied with the moritifying accusation of false delicacy herself (40).",Hugh Kelly,"The moment in which the moral of the play is revealed (the ultimate virtuous merit of false delicacy) in Act 5, from pages 80-87 In the primary source document.",1768,1768,Play,Theater; Contemporary Works; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99116302440001021,Lady Delacour,41,"""'I found it necessary to reform my manners. If I had not taken heart of grace, and publicly abjured the heresies of false delicacy, I should have been excommunicated--Lady Delacour's sprightly elegance--allow me to speak of myself in the style in which the newspaper writers talk of me.'""",,
42,toalady.jpeg,To a Lady',image/jpeg,"A reference to Pope's description of Calypso: ""'Twas thus Calypso once our hearts alarm'd, / Aw'd without virtue, without Beauty charm'd / Her Tongue bewitch'd as oddly as her Eyes, / Less Wit than Mimic, more a Wit than Wife, / Strange Graces still, and stranger Flights she had, / Was just not ugly, and was just not mad; / Yet never so sure our passion to create, / As when she touch'd the brink of all we hate."" There are several points of intrigue here, each of which foreshadowing a great deal of Mrs. Freke's chracterization. From her erratic and haphazardous behavior, to the intentional way that she capitalizes upon the weakness of others. For example, how she uses Juba's superstitious nature against him as well as attempts to persuade Belinda against the virtue inherent in the Percivals' lifestyle--reducing it to boring worthlessness. Much of her ability to deceive Lady Delacour was in her deliberate manipulation of the former's vanity and desperation for social belonging. Calypso as a figure herself is also an evocative extrapolation, in that the name itself means to ""conceal,"" and the reader discovers just how much Mrs. Freke conceals from both Lady Delacour and others in general: her initial introduction into the text was the deliberate prank played on Hervey regarding who was dressed as the widow Brady. Furthermore, Mrs. Freke hides the way in which she leads Colonel Lawless to believe Lady Delacour wanted to separate from Lord Delacour and be his lover instead, resulting in the calamitous duel for her honor. The particular line ""less wit than mimic"" is also rather powerful here, in that Mrs. Freke turns out to be unable to hold her own against Sir Percival in a debate about the inherent value of virtue, signalling the fact that she is more prone to copy fallacious, surface level arguments without a real substantive justification to add to any serious discussion about what constitutes virtue.",Alexander Pope,"The relevant lines in this poem span 45-52, and can be found on page 8.",1735,1735,Poetry,Contemporary Works; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99118085650001021,Lady Delacour,41,"""'[Mrs.Freke] had the talent of making the world believe that virtue to be invulnerable by nature, which disdained the common outworks of art for it's defence. I, amongst others, took it for granted, that the woman who could make it her sport to 'touch the brink of all we hate,' must have a stronger head than other people.""",,
43,vicar.jpeg,The Vicar of Wakefield,image/jpeg,"With direct reference to Ephraim Jenkinson, who intentionally deceives his audience that he is a learned man via his repeated explication of cosmogony. While Lady Delacour speaks ill of Lord Delacour here, there is a contradictory element to this comparison; in that Lord Delacour turns out to be right about how negative an influence Mrs. Freke was on both of their honor as a result of entangling Colonel Lawless into their affairs.",Oliver Goldsmith,"In both volumes, the first mention of this habit in Ephraim is in volume 1, chapter 14 (bottom of page 129) and in volume 2, chapter 5 (pages 79-80).",1766,1766,Novel,Contemporary Works; Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99110887330001021,Lady Delacour,41,"""'The league of amity between [Lady Delacour and Mrs. Freke] was scarcely ratified, before my lord Delacour came with his wise remonstrating face, to beg me 'to consider what was due to my honor and his.'--Like the cosmogony-man in the Vicar of Wakefield, he came out over and over with this cant phrase, which had once stood him in stead.'""",,
44,hamlet.jpeg,Hamlet,image/jpeg,"Lady Delacour repeats part of Hamlet's lines: ""O! it offends me to the Soul, to hear a robustous Perriweg pated Fellow tear a Passion to very Rags, to split the Ears of the Groundlings; who, for the most part, are capable of nothing but inexplicable dumb Shews and Noise: I would have such a Fellow whipp'd for o'er doing it Termagant; it out-Herods Herod. Pray you avoid it."" Here he is advising the player not to overdo his acting, and in much the same way Lady Delacour means to imply that Mrs. Freke took the mockery of her concerns to a whole new level as she was acting the part of friend in her overt manipulation.",William Shakespeare,"This excerpt can be found in Act 3, scene 2, and can be found on page 46.",1757,1757,Play,Theater; Literary Culture; Tragedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99118252500001021,Lady Delacour,41,"""'But to return to my friendship for Harriot Freke. I, of course, repeated to her every word which had passed between my husband and me. She out-Heroded Herod upon the occasion; and laughed so much at what she called my folly in pleading guilty in the Lawless cause, that I was downright ashamed of myself, and purely to prove my innocence, I determined, upon the first convenient opportunity, to renew my intimacy with the colonel.'""",,
45,caesar.jpeg,Julius Caesar,image/jpeg,"Here Lady Delacour references Cassius' famous phrase: ""Men at some times are Master of their Fates: The Fault, dear Brutus, is not in our stars, But in our selves, that we are Underlings."" Of interest here is the preface to this line, in that Lady Delacour's reformation is central to her character--and is something that she chooses for herself with the help of Belinda, in the aftermath of Mrs. Freke's betrayal and the worsening of her chest wound. Much of Lady Delacour's dissolution is something that she herself perceives as inevitable, although there are aspects of it that were exacerbated by both her and her husband's vices. Furthermore, here Cassius can be seen as taking on something of Mrs. Freke's aim, in that he tries to bolster Brutus as equal to Caesar in order to overthrow the latter, which is mirrored in Mrs. Freke's elevation of Lady Delacour leading to the death of Colonel Lawless.",William Shakespeare,"This excerpt is from Act 1, scene 2, and can be found on page 10 of this document.",1711,1711,Play,Theater; Literary Culture; History,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99123623370001021,Lady Delacour,42,"""'Lawless, as my stars (which you know are always more at fault than ourselves) would have it, returned just at this time from the continent, where he had been with his regiment;'""",,
46,times.jpeg,Times,image/jpeg,"In this newspaper article both Lady Wallace and Mrs. Inchbald were reported to attend the House of Commons ""in breeches""; of particular note also is the advertisement of The Irish Widow on the first page, a comic play which capitalizes on the humor inherently perceived with regard to a woman in breeches role.",?,"This article was published on March 6, 1788, Issue 880306. ISSN: 0140-0460",1788,1788,Article,Current Events; Theater,https://link.gale.com/apps/doc/CS16909926/TTDA?u=mlin_m_bostcoll&sid=bookmark-TTDA&xid=723c3530,Harriot Freke,43,"""'Where do you think I've been?' said Harriot, 'in the gallery of the House of Commons; almost squeezed to death these four hours; but I swore I'd hear Sheridans' speech tonight, and I did--Betted fifty guineas I would, with Mrs. Luttridge, and have won.'""",,
47,misc.jpeg,"Miscellaneous Pieces, in Prose",image/jpeg,"At the time Germany was associated (in terms of perception) with the most sensationalized Gothic novels, which were regarded with some concern by English society due to the subject matter and content. Lady Delacour's comparison here collapses the sense of trepidation and horror evoked by the German Gothic tradition with the visage of old woman Mrs.W--- in the doorway. Mrs.W-- was likely supposed to represent the famous astrologer in the 1790s, a Mrs. Williams, who ""specialized in advice to young women of the nobility and gentry on their marriage prospects"" (469). Lady Delacour, likely knowing this, characterizes her purposefully as an ominous omen to Colonel Lawless' dangerous conclusions about their love (or lack thereof) life.",John and Anna Laetitia Aiken (later Barbauld),Sir Betrand a Fragment' starts on page 127-137.,1773,1773,Story Collection,Contemporary Works; Literary Culture; Gothic,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99111645810001021,Lady Delacour,44,"""'As the old woman and her miserable blue light went on before us, I could almost have thought of sir Bertrand, or of some German horrifications, but I heard Lawless, who never could help laughing at the wrong time, bursting behind me, with a sense of his own superiority.'""",,
48,heiress.jpeg,The Heiress,image/jpeg,"With reference to the conversation within the play: “Dear Lady Emily, don’t you doat upon folly?” “To extacy. I only despair of seeing it well kept up.” Miss Alscrip alludes to there being no danger to excessive vanity, which Lady Emily heartily denies is without risk. Lady Delacour's allusion here serves as a moment of self-awareness, likely in the wake of potential divorce and social ruin.",John Burgoyne,"Specifically with mention to a conversation between Miss Alscrip and Lady Emily in Act 3, scene 2, found on page 58 of the primary source.",1786,1786,Play,Theater; Contemporary Works; Literary Culture; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99116021510001021,Lady Delacour,45,"""'Well, my dear, I am in a hurry to have done with all this: though I 'doated upon folly,' yet I was terrified at the thoughts of any thing worse. The idea of a divorce, the public brand of a shameful life, shocked me, in spite of all my real and all my assumed levity'""",,
49,bulls.jpeg,Essay on Irish Bulls,image/jpeg,"Edgeworth and her father created a collection of comedic statements known as bulls--otherwise known as logically absurd or inconsistent statements (469). Harriot's usage of the phrase here hardly carries the same levity, in that she more or less admits to manipulating the circumstances to ensure Colonel Lawless would get the wrong idea about their shared time together, and leaves he and Lady Delacour alone to the repercussions of perceived improrpriety--which indeed prove to be disastrous to both of their lives/reputations.",Richard Lovell and Maria Edgeworth,The link provided offers a digitized copy of the primary source.,1802,1802,Story Collection,Edgeworth's Corpus; Contemporary Works; Literary Culture; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99104012320001021,Lady Delacour,46,"""'My friend the colonel is much obliged to me, I'm sure, for remembering what the cunning, or the knowing woman told us just now, that [Lady Delacour and Colonel Lawless]--or are to be--one and the same person. So when I said I left you alone, I was not guilty of a bull, was I?'""",,
50,anecdotes.jpeg,More Last Words of Dr Johnson: Consisting of Important and Valuable Anecdotes,image/jpeg,"After Lady Delacour narrowly escapes what she perceives to be a dangerous attempt to claim her hand away from Lord Delacour, both she and Harriot Freke (the latter for appearance's sake) are determined to distance themselves from Colonel Lawless to ensure no further suggestions that he will pursuit his suit. At the time of Samuel Johnson's death he remained in the public consciousness long after, and so this allusion by Lady Delacour may yet imply the duel to come and the way in which Colonel Lawless' death impacted her life long after the duel ended.",Francis Barber,The link provided offers a digitized copy of the primary source.,1787,1787,Novel,Contemporary Works; Literary Culture; Satire,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma9998632220001021,Lady Delacour,46,"""'My esteemed friend agreed with me, that it would be best for both parties concerned to hush up this business; that as Lawless was going out of town in a few days, to be elected for a borough, we should get rid of him in the best way possible, without ""more last words""'""",,
51,ane.jpeg,Arabian Nights Entertainments,image/jpeg,"With reference to the princess Scheherazade of One Thousand and One Nights, who told stories each night in order to stave off certain death at the hands of her ruler husband. This allusion perhaps serves as foreshadowing for the very real mortality Lady Delacour feels while revealing the nature of her chest wound to Belinda, and the distress that this level of vulnerability causes her.",Charles Wheeler,"There is no clear edition referenced, and a version was selected within the time frame that would be a plausible source for Edgeworth in the time of her writing (late eighteenth century).",1777,1777,Story Collection,Global Literature; Literary Culture; Translation,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99122693580001021,Lady Delacour,47,"""Turning to Belinda with a forced smile, she said--'Now shall the princess Scheherazade go on with her story?'""",,
52,tdn.jpeg,The Dying Negro,image/jpeg,"Here Lady Delacour references a well-known abolitionist poem, in which the central character is a formerly enslaved black person who takes their own life, based in real life events. The part of the work she references speaks to the character's wish not to bring sadness to the people around him: “When pleasure led thee o’er the smiling plain, / Ere, like some hell-born spectre of dismay, / I cross’d thy path, and darken’d all the way…the friendless victim of despair!” While one might attribute this comparison to inappropriate hyperbole, there is something to be said about Lady Delacour's consciousness and avoidance of the real anguish she caused lady Lawless following the death of her son.",John Bicknell; Thomas Day,"Relevant lines to this interpretation can be found on page 3, from 37-40.",1773,1773,Poetry,Abolition; Contemporary Works; Literary Culture; Current Events,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99121359980001021,Lady Delacour,48,"""'That was lady Lawless--I believe I didn't answer you at the time.--I meet her every now and then--to me a spectre of dismay.'""",,
53,henry41.jpeg,Henry IV Part I,image/jpeg,"Lady Delacour is likely referring to the conversation between King Henry and his son, in which the king expresses sharp disapproval for the prince's dissipation and tendency towards vice. In his upbraiding, he notes the way that he had managed to rise to his station in the quiet cultivation of virtue by contrast to his son's self-indulgent sense of fame: “Had I so lavish my presence been, / So common-hackney’d in the eyes of men, / So stale and cheap to vulgar company” he would never have won the people's admiration and risen to the throne. Considering this allusion is made with reference to fashionable English society and the fathomless speed by which different cultural fixations and modes of conduct would go in and out of vogue, it is an apt comparison. It conveys a sense that Harriot Freke, like the prince, will do anything at all to stay relevant and feel seen--even if it means resorting to foolishness or cruelty.",William Shakespeare,"The excerpt referenced here can be found in Act 3, scene 2--at the top of page 58 in the priamry source document.",1751,1751,Play,Theater; Literary Culture; History,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99108922190001021,Lady Delacour; Harriot Freke,50,"""'I scarcely thought her in earnest, till she added, that the only way left, nowadays, for a woman to distinguish herself, was by spirit; as every thing else had grown ""cheap and vulgar in the eyes of men.""'""",,
54,duelist.jpeg,The Female Duelist,image/jpeg,"Although The Female Duelist bears the closest resemblance to the non-existent treatise Lady Delacour mentions here, the novel suggests that it was in fact written by Clarence Hervey. Most likely in line with his attempts at sustaining social intrigue, the England of this time period had already begun to disapprove of duels between men, and a duel between women would be at best rare if not unheard of. Harriot Freke using Clarence's writings as justification for the perceived--and entirely fabricated--call for female duelling within public opinion only further reveals the premeditation and multi-layered conception of her scheme.",?,The link provided offers a digitized copy of the primary source.,1793,1793,Play,Theater; Contemporary Works; Literary Culture; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99100983490001021,Lady Delacour,50,"""'That she knew one of the cleverest young men in England, and a man of fashion into the bargain, who was just going to publish a treatise ""Upon the Propriety and Necessity of Female Duelling;"" and that he demonstrated beyond a possibility of doubt, that civilized society could not exist a half a century longer without this necessary improvement.'""",,
55,rivals.jpeg,The Rivals,image/jpeg,"In this popular comedic play, the character evoked here--Bob Acres--is a reluctant participant in a duel, and exclaims: “Sir Lucius—I doubt it is going—yes—my valour is certainly going!—it is sneaking off!—I feel it oozing out as it were at the palms of my hands!” This parallel is entirely befitting Lady Delacour's situation, in that Harriot Freke devised the duel deliberately to play with her friend's life for her own amusement (being in league with Mrs. Luttridge and fully aware of the disparity in their skills, as well as a pattern of this type of heedless behavior towards others). It is Harriot Freke that suggests the duel in the first place, who incites her to issue the challenge despite penning it with a shaking hand, and who readily furnishes Lady Delacour with male attire, weapons, and a second under the guise of fulfulling the social expectations of a ""lady of fasion"" demanded of Lady Delacour's reputation. Like Bob Acres, Lady Delacour ultimately becomes an unwilling and frightened participant.",Richard Brinsley Sheridan,"Lady Delacour's quoted line is reflected in Act 5, scene 3, on page 94 of this primary source document.",1775,1775,Play,Theater; Contemporary Works; Literary Culture; Comedy,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99104077010001021,Lady Delacour,51,"""'In the evening, Harriot and I rode to the ground. There were several bullets sticking in the posts of the barn:--this was the place where Mrs.Luttridge had been accustomed to exercise herself in firing at a mark. I own my courage ""oozed out"" a little at this sight.'""",,
56,gnomologia.jpeg,"Gnomologia: Adagies and Proverbs; Wise Sentences and Witty Sayings, Ancient and Modern Foreign and British, collected by Thomas Fuller",image/jpeg,"Here Lady Delacour is likely referencing the proverb: “Many would be Cowards if they had Courage enough.” Her application of the phrase is somewhat questionable in that, as her courage waned, she realized that there was ultimately no good reason for her to engage in the duel to begin with--but felt the social pressure to continue ""on a point of honour with [her] spirited second"" (51). Lady Delacour is cowardly in this scene, then, on two levels: the first in her inability to acknowledge and act in accordance to her own reason (signalling that this fight was dangerous and pointless), the second in risking her life for the sake of social acceptance. The latter flaw puts this scene in conversation with Clarence's near-drowning, revealing the extent to which--though these two characters are highly rational and capable individuals--they also commit grave errors for the sake of fitting into fashionable society. Edgeworth, on some level, may be commenting on the harmful excesses of this type of vice inherent in and stoked by parts of London society.",Thomas Fuller; Francois duc de la Rochefoucauld,"In this collection of adagies and proverbs, Lady Delacour's reference can be found under number 3366.",1732,1732,Non-fiction,Contemporary Works; Literary Culture,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99125369360001021,Lady Delacour,51,"""'The duke de Rochefoucault, I believe, said truly, that ""many would be cowards if they dared.""'""",,
